timestamp,pids,cpu_delta_s,mem_mb,errors_delta,errors_total,trades_delta,trades_total,restarts_total,log_bytes
2025-12-29T11:57:27.6817084+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:57:37.7664961+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:57:47.8579484+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:57:57.9421770+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:58:08.0515651+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:58:18.1399516+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:58:28.2479804+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:58:38.3295423+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:58:48.4253184+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:58:58.5285369+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:59:08.6260358+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:59:18.7141840+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:59:28.7822765+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:59:38.8594639+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:59:48.9555149+05:00,,0,0,0,13,9,15,4,325061
2025-12-29T11:59:59.0432665+05:00,,0,0,0,13,12,27,4,327060
2025-12-29T12:00:09.1399295+05:00,,0,0,0,13,0,27,4,327060
2025-12-29T12:00:19.2242482+05:00,,0,0,0,13,0,27,4,327060
2025-12-29T12:00:29.3364329+05:00,,0,0,0,13,9,36,4,328553
2025-12-29T12:00:39.4195723+05:00,,0,0,0,13,15,51,4,331044
2025-12-29T12:00:49.5171738+05:00,,0,0,0,13,15,66,4,333536
2025-12-29T12:00:59.6387567+05:00,,0,0,0,13,15,81,4,336036
2025-12-29T12:01:09.7245357+05:00,,0,0,0,13,12,93,4,338022
2025-12-29T12:01:19.8071514+05:00,,0,0,0,13,15,108,4,340515
2025-12-29T12:01:29.8890270+05:00,,0,0,0,13,15,123,4,342995
2025-12-29T12:01:39.9646580+05:00,,0,0,0,13,15,138,4,345495
2025-12-29T12:01:50.0492027+05:00,,0,0,0,13,15,153,4,347980
2025-12-29T12:02:00.1601707+05:00,,0,0,0,13,12,165,4,349964
2025-12-29T12:02:10.2356911+05:00,,0,0,0,13,15,180,4,352461
2025-12-29T12:02:20.3267952+05:00,,0,0,0,13,15,195,4,354957
2025-12-29T12:02:30.4108001+05:00,,0,0,0,13,15,210,4,357451
2025-12-29T12:02:40.5044522+05:00,,0,0,0,13,15,225,4,359947
